selection_rank,facility_id,facility_name,source_customer_id,lat,lon,prefix_weighted_distance_cbm_km,prefix_weighted_average_distance_km,base_open,base_units,base_load_cbm,base_share_of_delivered_cbm
1,DC01,광명시 DC,C_K광명시,37.4787,126.8645,159713.99504889428,22.47277262542483,False,0,0.0,0.0
2,DC02,구리시 DC,C_K구리시,37.5944,127.1296,125971.73529955783,17.725022555165022,True,10251,2690.2,0.3804231008541208
3,DC03,수원시 DC,C_K수원시,37.2636,127.0286,98739.77913825988,13.89331351319261,True,4064,1068.8,0.1511397703490017
4,DC04,고양시 DC,C_K고양시,37.6584,126.832,87727.00472810776,12.343746268201457,False,0,0.0,0.0
5,DC05,부천시 DC,C_K부천시,37.5035,126.766,79559.50187045088,11.194526786330503,True,10416,2732.8,0.386447197239663
6,DC06,성남시 DC,C_K성남시,37.42,127.1265,72546.74066632983,10.207786782936518,False,0,0.0,0.0
7,DC07,평택시 DC,C_K평택시,36.9921,127.1129,66729.64851278464,9.389285002502412,False,0,0.0,0.0
8,DC08,화성시 DC,C_K화성시,37.1996,126.8311,61265.79764596887,8.620486512729544,False,0,0.0,0.0
9,DC09,의정부시 DC,C_K의정부시,37.7381,127.0337,56524.18033843004,7.95331086793725,False,0,0.0,0.0
10,DC10,용인시 DC,C_K용인시,37.241,127.1776,51917.25215243823,7.30508683726442,True,2211,579.8,0.0819899315572148
