experiment,role,period,days,demand_multiplier,status,mip_gap,daily_total_krw,weighted_total_krw,daily_fixed_krw,daily_handling_krw,daily_inbound_krw,daily_transport_normal_krw,daily_transport_premium_krw,daily_penalty_krw,daily_demand_units,daily_fulfilled_units,fulfillment_rate,daily_trips,daily_distance_km,average_distance_km,max_distance_km,trips_by_vehicle
growth_myopic_design,single_year_design,Year-1 optimized design,1,1.2,optimal,0.0,628288560.5568479,628288560.5568479,80000000.0,1616250.0,64650000.0,364365852.21876043,79056458.3380875,38600000.0,32518,32325,0.994064825635033,564,14093.629934328823,12.60047384792503,56.04985088885925,"{""1t"": 18, ""2.5t"": 228, ""3.5t"": 318}"
growth_myopic_evaluation,fixed_design_3year_evaluation,Growth year 1,365,1.2,optimal,0.0,628288560.5568479,229325324603.24948,80000000.0,1616250.0,64650000.0,364365852.21876043,79056458.3380875,38600000.0,32518,32325,0.994064825635033,564,14093.629934328823,12.60047384792503,56.04985088885925,"{""1t"": 18, ""2.5t"": 228, ""3.5t"": 318}"
growth_myopic_evaluation,fixed_design_3year_evaluation,Growth year 2,365,1.44,optimal,0.0,732405516.7576345,267328013616.5366,80000000.0,1939800.0,77592000.0,435064419.5714088,91809297.18622567,46000000.0,39026,38796,0.9941064931071594,655,16542.57071354023,12.59524940272417,56.04985088885925,"{""1t"": 14, ""2.5t"": 196, ""3.5t"": 445}"
growth_myopic_evaluation,fixed_design_3year_evaluation,Growth year 3,365,1.728,optimal,0.0,859664290.6066334,313777466071.4212,80000000.0,2328100.0,93124000.0,520933259.6738558,108478930.93277766,54800000.0,46836,46562,0.9941497992996841,783,19791.133812861717,12.607762551988165,56.04985088885925,"{""1t"": 15, ""2.5t"": 244, ""3.5t"": 524}"
growth_peak_design,single_year_design,Year-3 optimized design,1,1.728,optimal,0.0,850392789.6050977,850392789.6050977,100000000.0,2333050.0,93322000.0,511503963.29439527,108233776.31070243,35000000.0,46836,46661,0.9962635579468785,786,18643.458411907628,11.858600261169668,42.57243428419957,"{""1t"": 15, ""2.5t"": 251, ""3.5t"": 520}"
growth_peak_evaluation,fixed_design_3year_evaluation,Growth year 1,365,1.2,optimal,0.0,628307732.8970596,229332322507.42673,100000000.0,1619650.0,64786000.0,357560874.7670373,79341208.13002224,25000000.0,32518,32393,0.9961559751522234,566,13282.80385767352,11.84916116769756,42.57243428419957,"{""1t"": 19, ""2.5t"": 229, ""3.5t"": 318}"
growth_peak_evaluation,fixed_design_3year_evaluation,Growth year 2,365,1.44,optimal,0.0,728518666.3555293,265909313219.7682,100000000.0,1943900.0,77756000.0,427121518.3398046,92097248.01572476,29600000.0,39026,38878,0.9962076564341721,657,15670.361016089855,11.845728057181967,42.57243428419957,"{""1t"": 14, ""2.5t"": 198, ""3.5t"": 445}"
growth_peak_evaluation,fixed_design_3year_evaluation,Growth year 3,365,1.728,optimal,0.0,850392789.6050977,310393368205.86066,100000000.0,2333050.0,93322000.0,511503963.29439527,108233776.31070243,35000000.0,46836,46661,0.9962635579468785,786,18643.458411907628,11.858600261169668,42.57243428419957,"{""1t"": 15, ""2.5t"": 251, ""3.5t"": 520}"
growth_integrated,integrated_3year_design_and_evaluation,Growth year 1,365,1.2,optimal,0.0,628307732.8970596,229332322507.42673,100000000.0,1619650.0,64786000.0,357560874.7670373,79341208.13002224,25000000.0,32518,32393,0.9961559751522234,566,13282.80385767352,11.84916116769756,42.57243428419957,"{""1t"": 19, ""2.5t"": 229, ""3.5t"": 318}"
growth_integrated,integrated_3year_design_and_evaluation,Growth year 2,365,1.44,optimal,0.0,728518666.3555293,265909313219.7682,100000000.0,1943900.0,77756000.0,427121518.3398046,92097248.01572476,29600000.0,39026,38878,0.9962076564341721,657,15670.361016089855,11.845728057181967,42.57243428419957,"{""1t"": 14, ""2.5t"": 198, ""3.5t"": 445}"
growth_integrated,integrated_3year_design_and_evaluation,Growth year 3,365,1.728,optimal,0.0,850392789.6050977,310393368205.86066,100000000.0,2333050.0,93322000.0,511503963.29439527,108233776.31070243,35000000.0,46836,46661,0.9962635579468785,786,18643.458411907628,11.858600261169668,42.57243428419957,"{""1t"": 15, ""2.5t"": 251, ""3.5t"": 520}"
