experiment,role,period,days,demand_multiplier,status,mip_gap,daily_total_krw,weighted_total_krw,daily_fixed_krw,daily_handling_krw,daily_inbound_krw,daily_transport_normal_krw,daily_transport_premium_krw,daily_penalty_krw,daily_demand_units,daily_fulfilled_units,fulfillment_rate,daily_trips,daily_distance_km,average_distance_km,max_distance_km,trips_by_vehicle
base,sensitivity,2027,1,1.0,optimal,0.0,541155890.8803548,541155890.8803548,80000000.0,1347100.0,53884000.0,304293850.16474354,69430940.71561126,32200000.0,27103,26942,0.9940596981883925,476,12146.492507641367,12.603432949595568,56.04985088885925,"{""1t"": 22, ""2.5t"": 186, ""3.5t"": 268}"
premium_20km,sensitivity,2027,1,1.0,optimal,0.0,573151433.9842935,573151433.9842935,120000000.0,1345200.0,53808000.0,292167640.0438274,66030593.940466,39800000.0,27103,26904,0.9926576393757148,476,10479.9712188669,10.879726792909603,47.11041357097357,"{""1t"": 22, ""2.5t"": 190, ""3.5t"": 264}"
premium_25km,sensitivity,2027,1,1.0,optimal,0.0,554772266.2429653,554772266.2429653,100000000.0,1347050.0,53882000.0,298725455.77324146,68417760.46972387,32400000.0,27103,26941,0.9940228019038483,477,11347.768446107417,11.82351416769866,53.975875858443835,"{""1t"": 23, ""2.5t"": 186, ""3.5t"": 268}"
premium_30km,sensitivity,2027,1,1.0,optimal,0.0,541155890.8803548,541155890.8803548,80000000.0,1347100.0,53884000.0,304293850.16474354,69430940.71561126,32200000.0,27103,26942,0.9940596981883925,476,12146.492507641367,12.603432949595568,56.04985088885925,"{""1t"": 22, ""2.5t"": 186, ""3.5t"": 268}"
premium_35km,sensitivity,2027,1,1.0,optimal,0.0,518665369.42406625,518665369.42406625,60000000.0,1351350.0,54054000.0,313637266.42045754,74422753.00360869,15200000.0,27103,27027,0.9971958823746448,478,13559.35187860533,13.980216262361088,56.04985088885925,"{""1t"": 24, ""2.5t"": 181, ""3.5t"": 273}"
premium_40km,sensitivity,2027,1,1.0,optimal,0.0,511822223.64361966,511822223.64361966,60000000.0,1352200.0,54088000.0,310260403.7798937,74321619.86372596,11800000.0,27103,27044,0.9978231192118954,480,13188.377665401611,13.49657784169593,56.04985088885925,"{""1t"": 25, ""2.5t"": 187, ""3.5t"": 268}"
capacity_25percent,sensitivity,2027,1,1.0,feasible_limit,0.0362958919485594,561143734.3934033,561143734.3934033,120000000.0,1350200.0,54008000.0,295791235.7171995,70194298.67620374,19800000.0,27103,27004,0.9963472678301295,482,10588.894491450723,10.741225525539068,42.57243428419957,"{""1t"": 16, ""2.5t"": 178, ""3.5t"": 288}"
capacity_700cbm,sensitivity,2027,1,1.0,feasible_limit,0.019248935637357478,679531807.8151644,679531807.8151644,200000000.0,1339650.0,53586000.0,293192488.56218505,69413669.2529794,62000000.0,27103,26793,0.9885621517913146,460,11398.641373806788,12.321514912425767,100.46785463451684,"{""1t"": 21, ""2.5t"": 153, ""3.5t"": 286}"
mixed,sensitivity,2027,1,1.0,optimal,0.0,529526930.1583279,529526930.1583279,80000000.0,1347250.0,53890000.0,362689680.1583279,0.0,31600000.0,27103,26945,0.9941703870420249,450,11422.744524317623,12.603748840386844,56.04985088885925,"{""1t"": 1, ""2.5t"": 153, ""3.5t"": 296}"
vehicle_1t_only,sensitivity,2027,1,1.0,optimal,0.0,821489073.1598965,821489073.1598965,140000000.0,1347400.0,53896000.0,488068427.9588113,107177245.20108517,31000000.0,27103,26948,0.9942810758956573,1212,22806.089754652865,9.387513079174788,42.57243428419957,"{""1t"": 1212, ""2.5t"": 0, ""3.5t"": 0}"
vehicle_3_5t_only,sensitivity,2027,1,1.0,optimal,0.0,568847529.835345,568847529.835345,80000000.0,1345400.0,53816000.0,313244481.2973268,81441648.53801827,39000000.0,27103,26908,0.9928052245138914,462,11748.612983534498,12.583463097801953,56.04985088885925,"{""1t"": 0, ""2.5t"": 0, ""3.5t"": 462}"
demand_plus20percent,sensitivity,2027,1,1.2,optimal,0.0,628288560.5568479,628288560.5568479,80000000.0,1616250.0,64650000.0,364365852.21876043,79056458.3380875,38600000.0,32518,32325,0.994064825635033,564,14093.629934328823,12.60047384792503,56.04985088885925,"{""1t"": 18, ""2.5t"": 228, ""3.5t"": 318}"
