experiment,role,scenario,status,validation_passed,objective_krw,mip_gap,runtime_seconds,wall_seconds,open_dcs,open_facilities,fixed_krw,handling_krw,inbound_krw,transport_normal_krw,transport_premium_krw,penalty_krw,total_krw,demand_units,fulfilled_units,unmet_units,fulfillment_rate,total_trips,total_distance_km,periods,modeled_days,reference_experiment,reused_from,input_sha256,scenario_file,result_file,message
base,sensitivity,Base · 2027,optimal,True,541155890.8803548,0.0,0.273255,0.275159,4,DC02|DC03|DC05|DC10,80000000.0,1347100.0,53884000.0,304293850.16474354,69430940.71561126,32200000.0,541155890.8803548,27103.0,26942.0,161.0,0.9940596981883925,476.0,12146.492507641367,1,1.0,,,6dcc515de4532ef9309cdc4b984a0c75c2529805ab47f390ed53178bd502696f,base.scenario.json,base.result.json,선택한 후보와 수리모형에서 최적해를 찾았습니다.
premium_20km,sensitivity,Premium distance 20 km,optimal,True,573151433.9842935,0.0,0.237513,0.239655,6,DC03|DC04|DC05|DC06|DC07|DC09,120000000.0,1345200.0,53808000.0,292167640.0438274,66030593.940466,39800000.0,573151433.9842935,27103.0,26904.0,199.0,0.9926576393757148,476.0,10479.9712188669,1,1.0,base,,7f0507391936ed4c4bdc128f832ec394dd692dc2c59e6803656227d22995e6f6,premium_20km.scenario.json,premium_20km.result.json,선택한 후보와 수리모형에서 최적해를 찾았습니다.
premium_25km,sensitivity,Premium distance 25 km,optimal,True,554772266.2429653,0.0,0.247126,0.24945,5,DC02|DC03|DC05|DC07|DC09,100000000.0,1347050.0,53882000.0,298725455.77324146,68417760.46972387,32400000.0,554772266.2429653,27103.0,26941.0,162.0,0.9940228019038483,477.0,11347.768446107417,1,1.0,base,,23f3342d795ad1b97ec2f72022175730fa123b85d7defca39c156ac2ce1f6ef7,premium_25km.scenario.json,premium_25km.result.json,선택한 후보와 수리모형에서 최적해를 찾았습니다.
premium_30km,sensitivity,Premium distance 30 km,optimal,True,541155890.8803548,0.0,0.273255,1.9e-05,4,DC02|DC03|DC05|DC10,80000000.0,1347100.0,53884000.0,304293850.16474354,69430940.71561126,32200000.0,541155890.8803548,27103.0,26942.0,161.0,0.9940596981883925,476.0,12146.492507641367,1,1.0,base,base,6dcc515de4532ef9309cdc4b984a0c75c2529805ab47f390ed53178bd502696f,premium_30km.scenario.json,premium_30km.result.json,선택한 후보와 수리모형에서 최적해를 찾았습니다.
premium_35km,sensitivity,Premium distance 35 km,optimal,True,518665369.42406625,0.0,0.253237,0.256178,3,DC02|DC05|DC10,60000000.0,1351350.0,54054000.0,313637266.42045754,74422753.00360869,15200000.0,518665369.42406625,27103.0,27027.0,76.0,0.9971958823746448,478.0,13559.35187860533,1,1.0,base,,4204847f8cd88a3136b5a7f81b292603b2145cbe6f1210f014ff9240bf69901c,premium_35km.scenario.json,premium_35km.result.json,선택한 후보와 수리모형에서 최적해를 찾았습니다.
premium_40km,sensitivity,Premium distance 40 km,optimal,True,511822223.64361966,0.0,0.26174,0.264903,3,DC02|DC03|DC05,60000000.0,1352200.0,54088000.0,310260403.7798937,74321619.86372596,11800000.0,511822223.64361966,27103.0,27044.0,59.0,0.9978231192118954,480.0,13188.377665401611,1,1.0,base,,349607e2b936e2883df225bf18377e54e0e24318bada1c4b2f96d70f50f213af,premium_40km.scenario.json,premium_40km.result.json,선택한 후보와 수리모형에서 최적해를 찾았습니다.
capacity_25percent,sensitivity,DC capacity 1776.75 CBM,feasible_limit,True,561143734.3934033,0.0362958919485594,30.104542,30.106084,6,DC01|DC02|DC05|DC08|DC09|DC10,120000000.0,1350200.0,54008000.0,295791235.7171995,70194298.67620374,19800000.0,561143734.3934033,27103.0,27004.0,99.0,0.9963472678301295,482.0,10588.894491450723,1,1.0,base,,516cee8032aa01495bdb8608ba34a099b5204c5b8ce293c77cd10c405f101de5,capacity_25percent.scenario.json,capacity_25percent.result.json,제한 시간에 도달했습니다. 독립 검산을 통과한 실행 가능해이며 최적성은 미증명입니다.
capacity_700cbm,sensitivity,DC capacity 700 CBM,feasible_limit,True,679531807.8151644,0.019248935637357478,30.10904,30.111056,10,DC01|DC02|DC03|DC04|DC05|DC06|DC07|DC08|DC09|DC10,200000000.0,1339650.0,53586000.0,293192488.56218505,69413669.2529794,62000000.0,679531807.8151644,27103.0,26793.0,310.0,0.9885621517913146,460.0,11398.641373806788,1,1.0,base,,72d1bac3273af669310643e4a4b6703bcb8afbce8f608bfbcc495b7215fc3931,capacity_700cbm.scenario.json,capacity_700cbm.result.json,제한 시간에 도달했습니다. 독립 검산을 통과한 실행 가능해이며 최적성은 미증명입니다.
mixed,sensitivity,Hypothetical mixed loading,optimal,True,529526930.1583279,0.0,0.326215,0.327842,4,DC02|DC03|DC05|DC10,80000000.0,1347250.0,53890000.0,362689680.1583279,0.0,31600000.0,529526930.1583279,27103.0,26945.0,158.0,0.9941703870420249,450.0,11422.744524317623,1,1.0,base,,a897701cee0d3f4c9e8a243357298c9e7393ed1fc11fe535b0482175259c22a6,mixed.scenario.json,mixed.result.json,선택한 후보와 수리모형에서 최적해를 찾았습니다.
vehicle_1t_only,sensitivity,Only 1t,optimal,True,821489073.1598965,0.0,0.21148,0.213461,7,DC01|DC02|DC04|DC05|DC08|DC09|DC10,140000000.0,1347400.0,53896000.0,488068427.9588113,107177245.20108517,31000000.0,821489073.1598965,27103.0,26948.0,155.0,0.9942810758956573,1212.0,22806.089754652865,1,1.0,base,,7429f1c93bdb294af827e44fa1c99bf850090d95ba9a6d3eeecf3be8a46b4192,vehicle_1t_only.scenario.json,vehicle_1t_only.result.json,선택한 후보와 수리모형에서 최적해를 찾았습니다.
