experiment,role,period,days,demand_multiplier,status,mip_gap,daily_total_krw,weighted_total_krw,daily_fixed_krw,daily_handling_krw,daily_inbound_krw,daily_transport_normal_krw,daily_transport_premium_krw,daily_penalty_krw,daily_demand_units,daily_fulfilled_units,fulfillment_rate,daily_trips,daily_distance_km,average_distance_km,max_distance_km,trips_by_vehicle
growth_myopic_design,single_year_design,Year-1 optimized design,1,1.2,feasible_limit,0.0236722109643836,644294077.7863483,644294077.7863483,120000000.0,1619900.0,64796000.0,353012328.3537466,80865849.43260169,24000000.0,32518,32398,0.9963097361461345,566,12193.62569358214,10.793002812252922,43.09200417213425,"{""1t"": 14, ""2.5t"": 178, ""3.5t"": 374}"
growth_myopic_evaluation,fixed_design_3year_evaluation,Growth year 1,365,1.2,feasible_limit,0.004604880467814567,636708620.9719207,232398646654.75107,120000000.0,1619650.0,64786000.0,347932654.4423617,77370316.52955899,25000000.0,32518,32393,0.9961559751522234,562,12037.927245760813,10.7598795547,43.09200417213425,"{""1t"": 19, ""2.5t"": 205, ""3.5t"": 338}"
growth_myopic_evaluation,fixed_design_3year_evaluation,Growth year 2,365,1.44,feasible_limit,0.004604880467814567,748914062.9197633,273353632965.71362,120000000.0,1943900.0,77756000.0,427380507.4784895,92233655.44127375,29600000.0,39026,38878,0.9962076564341721,657,15569.158662849452,11.816152902163758,42.57243428419957,"{""1t"": 14, ""2.5t"": 191, ""3.5t"": 452}"
growth_myopic_evaluation,fixed_design_3year_evaluation,Growth year 3,365,1.728,feasible_limit,0.004604880467814567,1095520059.6377623,399864821767.78326,120000000.0,2253450.0,90138000.0,421584209.34355307,108144400.29420917,353400000.0,46836,45069,0.9622726108121957,671,15144.109279970326,11.26215626725648,43.09200417213425,"{""1t"": 14, ""2.5t"": 149, ""3.5t"": 508}"
growth_peak_design,single_year_design,Year-3 optimized design,1,1.728,feasible_limit,0.006856717882970153,867087570.974252,867087570.974252,160000000.0,2333200.0,93328000.0,475047455.82375187,101978915.15050016,34400000.0,46836,46664,0.9963276112392176,787,14135.706911294083,8.86667747413661,43.09200417213425,"{""1t"": 13, ""2.5t"": 254, ""3.5t"": 520}"
growth_peak_evaluation,fixed_design_3year_evaluation,Growth year 1,365,1.2,feasible_limit,0.00262254090925732,653985881.3200362,238704846681.8132,160000000.0,1619650.0,64786000.0,329152329.3919196,73427901.92811655,25000000.0,32518,32393,0.9961559751522234,563,9711.042428023447,8.531371737701104,42.57243428419957,"{""1t"": 19, ""2.5t"": 211, ""3.5t"": 333}"
growth_peak_evaluation,fixed_design_3year_evaluation,Growth year 2,365,1.44,feasible_limit,0.00262254090925732,748979866.492686,273377651269.8304,160000000.0,1944100.0,77764000.0,395131565.9148907,85340200.57779533,28800000.0,39026,38882,0.9963101522062215,660,11623.889756100742,8.633947331365787,42.57243428419957,"{""1t"": 14, ""2.5t"": 212, ""3.5t"": 434}"
growth_peak_evaluation,fixed_design_3year_evaluation,Growth year 3,365,1.728,feasible_limit,0.00262254090925732,867087570.974252,316486963405.602,160000000.0,2333200.0,93328000.0,475047455.82375187,101978915.15050016,34400000.0,46836,46664,0.9963276112392176,787,14135.706911294083,8.86667747413661,43.09200417213425,"{""1t"": 13, ""2.5t"": 254, ""3.5t"": 520}"
growth_integrated,integrated_3year_design_and_evaluation,Growth year 1,365,1.2,feasible_limit,0.01233846702755216,646856176.2264754,236102504322.6635,140000000.0,1619850.0,64794000.0,339318049.95409375,76924276.27238159,24200000.0,32518,32397,0.9962789839473523,566,11020.603549562818,9.641350730011478,43.09200417213425,"{""1t"": 16, ""2.5t"": 221, ""3.5t"": 329}"
growth_integrated,integrated_3year_design_and_evaluation,Growth year 2,365,1.44,feasible_limit,0.01233846702755216,744099127.1105512,271596181395.3512,140000000.0,1944200.0,77768000.0,407652418.7367498,88334508.37380137,28400000.0,39026,38884,0.9963614000922462,660,13190.133029732522,9.810874876965343,43.09200417213425,"{""1t"": 13, ""2.5t"": 207, ""3.5t"": 440}"
growth_integrated,integrated_3year_design_and_evaluation,Growth year 3,365,1.728,feasible_limit,0.01233846702755216,872873169.349678,318598706812.6325,140000000.0,2333250.0,93330000.0,497073844.5195355,105936074.83014251,34200000.0,46836,46665,0.9963489623366641,786,16742.707862564042,10.565312431185381,48.010535358061354,"{""1t"": 10, ""2.5t"": 249, ""3.5t"": 527}"
